Name,Size,Age,Color,Breed
Jmuufdk,1,41,red,Antipodean Opaleye
Jmvfdkx,14,36,blue,Antipodean Opaleye
Jrrxmpv,14,15,blue,Antipodean Opaleye
Jseng,14,14,red,Antipodean Opaleye
Jsnk,20,26,black,Antipodean Opaleye
Jspd,10,97,red,Antipodean Opaleye
Juuwjniu,7,99,red,Antipodean Opaleye
Jvxqi,19,29,black,Antipodean Opaleye
Jwe,1,79,red,Antipodean Opaleye
Jyvr,19,87,black,Antipodean Opaleye
Kborvuuy,4,11,red,Antipodean Opaleye
Kcfky,5,71,red,Antipodean Opaleye
Kdbuimw,13,68,white,Antipodean Opaleye
Kdja,6,73,blue,Antipodean Opaleye
Kekw,9,2,red,Antipodean Opaleye
Kextfbk,20,2,red,Antipodean Opaleye
Kgpgpyd,12,63,black,Antipodean Opaleye
Kiwh,3,59,red,Antipodean Opaleye
Kjiw,15,27,red,Antipodean Opaleye
Kjwg,14,48,black,Antipodean Opaleye
Kklupwju,19,62,white,Antipodean Opaleye
Klcnuk,16,64,blue,Antipodean Opaleye
Klvjqwsb,8,89,white,Antipodean Opaleye
Kmqcs,4,13,red,Antipodean Opaleye
Kqifi,11,98,white,Antipodean Opaleye
Krluxg,12,86,white,Antipodean Opaleye
Krnx,18,16,black,Antipodean Opaleye
Kxkgsnmk,16,70,red,Antipodean Opaleye
Lam,1,88,red,Antipodean Opaleye
Lbvx,14,51,blue,Antipodean Opaleye
Ldrhfefp,12,66,blue,Antipodean Opaleye
Lduvmqp,4,58,blue,Antipodean Opaleye
Ljqxg,0,55,white,Antipodean Opaleye
Ljyec,9,44,black,Antipodean Opaleye
Ljylqsn,17,28,blue,Antipodean Opaleye
Lqc,10,93,white,Antipodean Opaleye
Lqpb,0,90,red,Antipodean Opaleye
Lrf,7,31,black,Antipodean Opaleye
Lsmvpnym,3,40,white,Antipodean Opaleye
Lvu,20,4,white,Antipodean Opaleye
Lvxk,11,94,black,Antipodean Opaleye
Lwbfjf,16,37,red,Antipodean Opaleye
Lwpjbk,16,81,red,Antipodean Opaleye
Lwxe,6,52,white,Antipodean Opaleye
Lyg,6,4,black,Antipodean Opaleye
Lytyak,14,63,black,Antipodean Opaleye
Maygiw,7,88,red,Antipodean Opaleye
Mho,20,10,blue,Antipodean Opaleye
Mks,9,76,white,Antipodean Opaleye
Mlfkmmm,15,99,white,Antipodean Opaleye
Mlkwug,6,10,red,Antipodean Opaleye
Mlr,0,61,blue,Antipodean Opaleye
Mmealq,6,38,black,Antipodean Opaleye
Mnuqpn,6,13,black,Antipodean Opaleye
Mskyp,2,10,red,Antipodean Opaleye
Mupimwk,15,59,black,Antipodean Opaleye
Muujxedn,13,28,blue,Antipodean Opaleye
Myihor,14,77,red,Antipodean Opaleye
Nbdnxk,10,20,black,Antipodean Opaleye
Nci,6,93,blue,Antipodean Opaleye
Ncoxgps,11,99,blue,Antipodean Opaleye
Ndcdmtu,4,68,red,Antipodean Opaleye
Nekam,20,87,red,Antipodean Opaleye
Nfigyrb,7,16,white,Antipodean Opaleye
Nfy,19,20,black,Antipodean Opaleye
Nhmhhjbr,17,70,white,Antipodean Opaleye
Njul,13,22,black,Antipodean Opaleye
Nkvxt,14,7,white,Antipodean Opaleye
Nosvuaue,0,2,red,Antipodean Opaleye
Npkmc,20,100,black,Antipodean Opaleye
Nqybnm,13,58,white,Antipodean Opaleye
Nsxbu,16,10,red,Antipodean Opaleye
Ntuhnd,11,16,black,Antipodean Opaleye
Nxhxsanj,19,58,white,Antipodean Opaleye
Odnjllum,0,54,white,Antipodean Opaleye
Ofokh,2,51,blue,Antipodean Opaleye
Ogwwd,2,81,white,Antipodean Opaleye
Ohid,19,4,white,Antipodean Opaleye
Ohoag,2,68,red,Antipodean Opaleye
Oihvfji,19,38,blue,Antipodean Opaleye
Ojhkw,0,44,white,Antipodean Opaleye
Olws,13,21,red,Antipodean Opaleye
Onrsm,12,59,white,Antipodean Opaleye
Orsbwjv,18,26,black,Antipodean Opaleye
Orxo,2,63,red,Antipodean Opaleye
Otcfhale,7,6,black,Antipodean Opaleye
Ovaquhi,10,74,blue,Antipodean Opaleye
Owhlq,7,28,red,Antipodean Opaleye
Owsrjt,16,36,red,Antipodean Opaleye
Owwy,5,74,blue,Antipodean Opaleye
Oycgotv,10,30,blue,Antipodean Opaleye
Oyr,2,10,blue,Antipodean Opaleye
Pbg,3,82,blue,Antipodean Opaleye
Peno,18,46,blue,Antipodean Opaleye
Pffxehp,10,66,blue,Antipodean Opaleye
Pitjkjyy,12,25,blue,Antipodean Opaleye
Pjehqke,6,69,white,Antipodean Opaleye
Pjuq,0,20,blue,Antipodean Opaleye
Pjwvlvtk,9,98,black,Antipodean Opaleye
Pkmkqj,7,53,black,Antipodean Opaleye
Pna,7,68,white,Antipodean Opaleye
Pobasm,14,25,black,Antipodean Opaleye
Prgutmmo,5,95,white,Antipodean Opaleye
Prmonknq,0,90,blue,Antipodean Opaleye
Puhrdlc,9,90,red,Antipodean Opaleye
Pxihdow,9,59,blue,Antipodean Opaleye
Pycvq,6,95,blue,Antipodean Opaleye
Qcfjup,5,36,white,Antipodean Opaleye
Qck,3,88,black,Antipodean Opaleye
Qfspn,7,29,blue,Antipodean Opaleye
Qhhmm,10,45,blue,Antipodean Opaleye
Qhyad,17,8,white,Antipodean Opaleye
Qiqscthh,14,54,black,Antipodean Opaleye
Qle,7,38,red,Antipodean Opaleye
Qmqbwh,4,59,black,Antipodean Opaleye
Qnup,14,33,white,Antipodean Opaleye
Qnyetbx,6,69,red,Antipodean Opaleye
Qpspw,13,45,red,Antipodean Opaleye
Qqlmglp,17,92,blue,Antipodean Opaleye
Qqpltklb,4,49,white,Antipodean Opaleye
Qqwd,18,77,red,Antipodean Opaleye
Qrttjjex,7,50,blue,Antipodean Opaleye
Qtes,20,27,red,Antipodean Opaleye
Qvj,1,39,white,Antipodean Opaleye
Qyjlhqpw,6,71,blue,Antipodean Opaleye
Qyvqlba,5,25,red,Antipodean Opaleye
Ragdp,11,99,black,Antipodean Opaleye
Raggw,3,31,white,Antipodean Opaleye
Raiyrh,13,7,white,Antipodean Opaleye
Ravjfn,12,14,black,Antipodean Opaleye
Ravunb,12,24,black,Antipodean Opaleye
Rde,11,24,blue,Antipodean Opaleye
Rdnopwko,6,88,white,Antipodean Opaleye
Reire,1,91,white,Antipodean Opaleye
Rgpulpbw,13,97,blue,Antipodean Opaleye
Rhq,19,74,blue,Antipodean Opaleye
Rjhjnl,15,91,white,Antipodean Opaleye
Rkjdjpkg,9,38,red,Antipodean Opaleye
Rkk,4,61,red,Antipodean Opaleye
Rnixq,13,62,black,Antipodean Opaleye
Rnsh,14,94,red,Antipodean Opaleye
Ropb,6,28,blue,Antipodean Opaleye
Ropb,6,28,blue,Antipodean Opaleye
Rsipgc,10,7,black,Antipodean Opaleye
Rsjyq,1,98,black,Antipodean Opaleye
Rtjms,13,78,blue,Antipodean Opaleye
Rto,1,31,red,Antipodean Opaleye
Rvslbwj,16,67,red,Antipodean Opaleye
Ryhpmnv,8,49,blue,Antipodean Opaleye
Sbkir,18,40,red,Antipodean Opaleye
Sfce,8,40,red,Antipodean Opaleye
Sfmtblmg,20,75,blue,Antipodean Opaleye
Sigd,3,35,black,Antipodean Opaleye
Smbuwcnf,19,6,white,Antipodean Opaleye
Sobbtjj,1,21,blue,Antipodean Opaleye
Sohe,2,63,red,Antipodean Opaleye
Spjbhh,12,7,blue,Antipodean Opaleye
Srhiwm,10,86,white,Antipodean Opaleye
Srvkrao,11,37,white,Antipodean Opaleye
Ssbgysgg,15,8,blue,Antipodean Opaleye
Stvipm,9,30,black,Antipodean Opaleye
Sumydm,9,52,blue,Antipodean Opaleye
Svv,18,56,blue,Antipodean Opaleye
Swfy,19,21,white,Antipodean Opaleye
Sydjtqpl,7,83,black,Antipodean Opaleye
Tcg,5,36,black,Antipodean Opaleye
Tdsixx,20,46,white,Antipodean Opaleye
Teiu,19,21,white,Antipodean Opaleye
Tik,8,41,red,Antipodean Opaleye
Tjyfqeh,8,62,black,Antipodean Opaleye
Tohe,8,85,red,Antipodean Opaleye
Tpxu,3,61,blue,Antipodean Opaleye
Trhe,6,95,blue,Antipodean Opaleye
Tunjrjo,3,5,blue,Antipodean Opaleye
Twhvnn,10,95,black,Antipodean Opaleye
Twudcbsp,7,69,red,Antipodean Opaleye
Txqcis,3,98,red,Antipodean Opaleye
Tybfeji,20,19,red,Antipodean Opaleye
Tyjidwt,13,46,blue,Antipodean Opaleye
Tykoue,15,58,white,Antipodean Opaleye
Typky,7,82,white,Antipodean Opaleye
Uashxmb,16,2,white,Antipodean Opaleye
Ucnyr,17,89,red,Antipodean Opaleye
Ucsastv,1,1,blue,Antipodean Opaleye
Udmrnnt,14,54,red,Antipodean Opaleye
Uegnrg,8,66,blue,Antipodean Opaleye
Uexlwvw,13,27,blue,Antipodean Opaleye
Uhulojns,18,81,white,Antipodean Opaleye
Uiguxf,13,76,blue,Antipodean Opaleye
Ujkjb,17,47,blue,Antipodean Opaleye
Ujupro,17,94,red,Antipodean Opaleye
Umdur,4,43,red,Antipodean Opaleye
Umyrpy,5,84,blue,Antipodean Opaleye
Unac,7,78,black,Antipodean Opaleye
Uouk,3,77,white,Antipodean Opaleye
Upqsmaov,0,5,red,Antipodean Opaleye
Uqkj,19,66,white,Antipodean Opaleye
Urbmlrb,2,43,white,Antipodean Opaleye
Utp,5,45,white,Antipodean Opaleye
Utqvab,20,36,black,Antipodean Opaleye
Uuklxeed,7,24,blue,Antipodean Opaleye
Uurl,5,50,red,Antipodean Opaleye
Vcbuyctu,19,49,white,Antipodean Opaleye
Vco,12,65,red,Antipodean Opaleye
Vea,14,9,black,Antipodean Opaleye
Vfcsro,11,26,white,Antipodean Opaleye
Vfkher,5,73,red,Antipodean Opaleye
Vgvu,0,79,blue,Antipodean Opaleye
Vhsma,20,97,blue,Antipodean Opaleye
Viju,17,71,white,Antipodean Opaleye
Vle,11,76,white,Antipodean Opaleye
Vlqktg,4,46,red,Antipodean Opaleye
Vlvhxfu,9,48,white,Antipodean Opaleye
Vmo,6,62,white,Antipodean Opaleye
Vmvoskgb,9,82,red,Antipodean Opaleye
Vnpmdrha,16,81,black,Antipodean Opaleye
Vpthpwue,16,98,black,Antipodean Opaleye
Vrdcwbk,19,60,white,Antipodean Opaleye
Vsekp,11,14,white,Antipodean Opaleye
Vxghetu,7,56,blue,Antipodean Opaleye
Wefrkqt,5,46,white,Antipodean Opaleye
Weqywdb,1,30,blue,Antipodean Opaleye
Wfrdncn,2,38,black,Antipodean Opaleye
Wgsxfa,20,81,black,Antipodean Opaleye
Whwgsoqk,17,37,red,Antipodean Opaleye
Wit,17,15,red,Antipodean Opaleye
Wjseqs,13,52,red,Antipodean Opaleye
Wjtysmn,0,94,blue,Antipodean Opaleye
Wla,13,68,blue,Antipodean Opaleye
Woepmj,5,50,black,Antipodean Opaleye
Wpfondvy,5,67,black,Antipodean Opaleye
Wtjaf,14,85,blue,Antipodean Opaleye
Wuyqrpk,17,2,blue,Antipodean Opaleye
Wvp,1,87,red,Antipodean Opaleye
Wwqiwp,15,24,white,Antipodean Opaleye
Xbm,8,86,blue,Antipodean Opaleye
Xcfdgw,17,20,white,Antipodean Opaleye
Xehu,4,30,white,Antipodean Opaleye
Xgv,7,89,blue,Antipodean Opaleye
Xlkmdr,8,40,white,Antipodean Opaleye
Xpxid,13,36,red,Antipodean Opaleye
Xqxu,8,35,red,Antipodean Opaleye
Xsa,13,21,black,Antipodean Opaleye
Xtfjd,4,74,black,Antipodean Opaleye
Xuig,6,32,red,Antipodean Opaleye
Xvodrbd,8,53,red,Antipodean Opaleye
Xwaxsvqt,13,44,white,Antipodean Opaleye
Xxrgax,18,90,red,Antipodean Opaleye
Xxxiwk,2,62,black,Antipodean Opaleye
Xyudx,13,67,red,Antipodean Opaleye
Ybeyf,19,69,red,Antipodean Opaleye
Ydowk,1,79,blue,Antipodean Opaleye
Ydqgr,17,58,black,Antipodean Opaleye
Yeyb,9,88,blue,Antipodean Opaleye
Yhh,15,23,black,Antipodean Opaleye
Yignrro,19,90,red,Antipodean Opaleye
Yjkc,3,37,red,Antipodean Opaleye
Yjtxls,8,82,white,Antipodean Opaleye
Ykgdmo,3,15,white,Antipodean Opaleye
Ynbubmi,1,61,white,Antipodean Opaleye
Yqrg,2,81,black,Antipodean Opaleye
Yrcv,9,83,black,Antipodean Opaleye
Yuwf,5,92,black,Antipodean Opaleye
Yymieme,0,48,red,Antipodean Opaleye
Yythtm,15,70,black,Antipodean Opaleye
Acb,17,16,white,Chinese Fireball
Adymatpw,16,41,black,Chinese Fireball
Afaso,7,33,white,Chinese Fireball
Akfe,14,4,black,Chinese Fireball
Akiianei,7,69,blue,Chinese Fireball
Alwdlo,3,7,black,Chinese Fireball
Aoyl,13,98,white,Chinese Fireball
Apeyq,16,18,white,Chinese Fireball
Atjtvpma,10,49,white,Chinese Fireball
Auvveo,13,56,blue,Chinese Fireball
Auwt,15,20,red,Chinese Fireball
Awkpum,1,40,black,Chinese Fireball
Axoebq,17,16,white,Chinese Fireball
Axpbpexs,15,38,red,Chinese Fireball
Ayommpw,18,24,blue,Chinese Fireball
Bbeesbq,14,16,white,Chinese Fireball
Bcthb,8,77,blue,Chinese Fireball
Bhdktkbg,14,29,blue,Chinese Fireball
Bhg,20,82,white,Chinese Fireball
Biteknx,0,87,red,Chinese Fireball
Bjjhtbgr,0,82,white,Chinese Fireball
Bqiuha,16,27,white,Chinese Fireball
Bqvstb,8,20,black,Chinese Fireball
Bqwlkk,2,18,blue,Chinese Fireball
Brlbvoy,9,86,white,Chinese Fireball
Bsvjqy,17,77,red,Chinese Fireball
Bulgj,18,48,red,Chinese Fireball
Busnvr,3,81,red,Chinese Fireball
Bvojof,3,45,blue,Chinese Fireball
Bxlmqne,0,18,white,Chinese Fireball
Cbegkei,13,27,red,Chinese Fireball
Cbsltqu,18,52,white,Chinese Fireball
Ccc,1,7,black,Chinese Fireball
Ccmut,7,52,black,Chinese Fireball
Ccpvb,20,66,blue,Chinese Fireball
Cdl,10,97,black,Chinese Fireball
Ces,1,81,black,Chinese Fireball
Cfixamlg,0,91,red,Chinese Fireball
Cfl,3,51,white,Chinese Fireball
Cgrak,2,35,red,Chinese Fireball
Cijyohri,18,64,blue,Chinese Fireball
Ciyeppcp,3,44,white,Chinese Fireball
Cllodvu,13,93,red,Chinese Fireball
Cmpekmo,13,58,white,Chinese Fireball
Cmulty,4,61,white,Chinese Fireball
Coawwks,4,36,white,Chinese Fireball
Cpovq,6,96,black,Chinese Fireball
Cqgpko,18,45,black,Chinese Fireball
Csxlque,1,20,black,Chinese Fireball
Ctjfqydj,18,88,red,Chinese Fireball
Cufrcbva,20,18,blue,Chinese Fireball
Cvefy,13,45,white,Chinese Fireball
Cvm,7,91,red,Chinese Fireball
Cxhjfpe,3,20,red,Chinese Fireball
Cxllrv,10,87,blue,Chinese Fireball
Ddd,16,88,black,Chinese Fireball
Ddeshkw,1,49,blue,Chinese Fireball
Dgxx,9,49,white,Chinese Fireball
Dhrpnqq,5,38,white,Chinese Fireball
Dlwi,12,67,blue,Chinese Fireball
Dmbfnu,4,27,red,Chinese Fireball
Dnarkox,14,96,white,Chinese Fireball
Drjn,9,44,blue,Chinese Fireball
Dsgtcd,3,38,black,Chinese Fireball
Dtbyba,17,78,blue,Chinese Fireball
Dty,1,93,blue,Chinese Fireball
Dvobubh,6,43,white,Chinese Fireball
Dvviag,3,47,red,Chinese Fireball
Dwbsebd,12,57,blue,Chinese Fireball
Edtfrji,15,8,white,Chinese Fireball
Eecrrg,6,91,blue,Chinese Fireball
Ekfyocrp,0,60,white,Chinese Fireball
Ekjby,8,19,black,Chinese Fireball
Elvfwfji,20,86,white,Chinese Fireball
Emfjftd,0,89,black,Chinese Fireball
Eoox,2,57,black,Chinese Fireball
Eqdn,7,10,white,Chinese Fireball
Eqpyl,11,84,red,Chinese Fireball
Eqs,12,18,black,Chinese Fireball
Eqtkicu,10,98,blue,Chinese Fireball
Equ,10,41,black,Chinese Fireball
Evb,8,49,white,Chinese Fireball
Ewh,11,37,black,Chinese Fireball
Exrpeuc,16,100,blue,Chinese Fireball
Eyos,14,89,blue,Chinese Fireball
Eyrbdm,6,25,red,Chinese Fireball
Eyv,7,52,black,Chinese Fireball
Fcowtl,7,9,blue,Chinese Fireball
Fdff,7,95,red,Chinese Fireball
Fefpf,11,44,blue,Chinese Fireball
Ffhlxr,13,4,red,Chinese Fireball
Fivvou,5,35,black,Chinese Fireball
Fjt,5,35,black,Chinese Fireball
Fkjpqei,2,20,black,Chinese Fireball
Foitsfny,3,59,white,Chinese Fireball
Fqwltj,20,20,blue,Chinese Fireball
Frh,13,41,red,Chinese Fireball
Fsj,5,73,white,Chinese Fireball
Fwniqa,17,69,white,Chinese Fireball
Fymxjti,8,84,black,Chinese Fireball
Fys,1,65,blue,Chinese Fireball
Gbywtyo,20,51,black,Chinese Fireball
Gcchl,13,15,red,Chinese Fireball
Gdo,9,84,white,Chinese Fireball
Gehfq,5,77,white,Chinese Fireball
Geny,2,50,white,Chinese Fireball
Giugsq,3,49,red,Chinese Fireball
Glqopyx,2,76,black,Chinese Fireball
Gnpxpqct,10,4,black,Chinese Fireball
Gnqqcqee,7,45,red,Chinese Fireball
Gnv,10,39,black,Chinese Fireball
Gta,3,11,blue,Chinese Fireball
Gtwqkf,6,60,black,Chinese Fireball
Gumsy,4,34,black,Chinese Fireball
Gwsreeav,17,15,white,Chinese Fireball
Gxlwj,18,78,red,Chinese Fireball
Gyasnfja,17,4,red,Chinese Fireball
Hbuflerm,4,35,black,Chinese Fireball
Hcaivb,1,12,white,Chinese Fireball
Hkm,7,39,red,Chinese Fireball
Hma,6,65,black,Chinese Fireball
Hmgauw,13,98,red,Chinese Fireball
Hpmqjv,18,39,white,Chinese Fireball
Hsoe,15,2,blue,Chinese Fireball
Htgmkj,20,13,white,Chinese Fireball
Hugyqnf,1,59,black,Chinese Fireball
Iccicy,9,70,black,Chinese Fireball
Icq,13,27,white,Chinese Fireball
Icrb,18,63,red,Chinese Fireball
Idjy,7,18,blue,Chinese Fireball
Iehotnra,7,96,white,Chinese Fireball
Ieqovvey,10,40,black,Chinese Fireball
Iia,12,56,red,Chinese Fireball
Ipvyyvwe,5,47,white,Chinese Fireball
Irsixw,16,1,white,Chinese Fireball
Isda,13,52,red,Chinese Fireball
Itww,4,88,blue,Chinese Fireball
Ivoeya,17,3,blue,Chinese Fireball
Iwkxuyfr,11,32,blue,Chinese Fireball
Jaypl,14,93,red,Chinese Fireball
Jdpj,18,7,red,Chinese Fireball
Jhwm,4,85,black,Chinese Fireball
Jif,10,19,blue,Chinese Fireball
Jitwgte,16,9,white,Chinese Fireball
Jjccqunc,14,68,black,Chinese Fireball
Joofni,3,18,blue,Chinese Fireball
Jpu,18,11,white,Chinese Fireball
Jrb,17,51,black,Chinese Fireball
Jrxmds,15,25,red,Chinese Fireball
Jsafobx,8,69,blue,Chinese Fireball
Jsaycxaf,14,43,red,Chinese Fireball
Jsocq,17,58,blue,Chinese Fireball
Jucpcir,5,46,white,Chinese Fireball
