Name, Size, Age, Color, Breed
Nhmyeseo,0,6,red,Chinese Fireball
Nrtatw,9,6,red,Chinese Fireball
Pfdpwkvo,0,6,blue,Chinese Fireball
Smqqpgg,16,6,white,Chinese Fireball
Nnytaxfj,4,6,white,Common Welsh Green
Vjgaru,0,6,white,Common Welsh Green
Wln,17,6,black,Common Welsh Green
Yvbsjabe,10,6,white,Common Welsh Green
Bweo,9,6,red,Hebridean Black
Egoa,1,6,blue,Hebridean Black
Iej,11,6,white,Hebridean Black
Rcctgfom,7,6,black,Hebridean Black
Rqrogve,11,6,black,Hebridean Black
Trswgl,15,6,red,Hebridean Black
Qrn,7,6,red,Hungarian Horntail
Odsteh,19,6,white,Norwegian Ridgeback
Knw,0,6,blue,Peruvian Vipertooth
Svd,0,6,white,Peruvian Vipertooth
Uso,15,6,red,Peruvian Vipertooth
Ygfnuoe,14,6,white,Peruvian Vipertooth
Ylppicxg,18,6,blue,Peruvian Vipertooth
Bnu,8,6,black,Romanian Longhorn
Lrsgaod,0,6,blue,Romanian Longhorn
Bqt,20,6,white,Swedish Short-Snout
Ideyw,14,6,red,Swedish Short-Snout
Jife,4,6,white,Swedish Short-Snout
Oowlrtej,17,6,blue,Swedish Short-Snout
Tmevksb,2,6,white,Swedish Short-Snout
Cvpydnd,19,6,red,Ukrainian Ironbelly
Phns,5,6,red,Ukrainian Ironbelly
Qqlmp,19,6,red,Ukrainian Ironbelly
Sdao,15,6,blue,Ukrainian Ironbelly
Xycrghm,7,6,black,Ukrainian Ironbelly
Nkvxt,14,7,white,Antipodean Opaleye
Raiyrh,13,7,white,Antipodean Opaleye
Rsipgc,10,7,black,Antipodean Opaleye
Spjbhh,12,7,blue,Antipodean Opaleye
Alwdlo,3,7,black,Chinese Fireball
Ccc,1,7,black,Chinese Fireball
Jdpj,18,7,red,Chinese Fireball
Txriapo,2,7,black,Chinese Fireball
Hqbaqt,5,7,black,Common Welsh Green
Iqw,7,7,black,Common Welsh Green
Sqbcmg,1,7,red,Common Welsh Green
Ujjoxmy,14,7,white,Common Welsh Green
Usctbh,15,7,white,Common Welsh Green
Vlyisapw,7,7,blue,Common Welsh Green
Hqdlurrb,3,7,black,Hebridean Black
Ukfawwtd,19,7,blue,Hebridean Black
Aadscny,11,7,white,Hungarian Horntail
Aqjwd,18,7,red,Hungarian Horntail
Ntwsa,13,7,black,Hungarian Horntail
Wxsgbtmd,14,7,blue,Hungarian Horntail
Mhugw,15,7,white,Norwegian Ridgeback
Wmc,13,7,red,Norwegian Ridgeback
Cvieoax,5,7,red,Peruvian Vipertooth
Namxv,6,7,blue,Peruvian Vipertooth
Yglxohcj,14,7,red,Peruvian Vipertooth
Cdhbiyo,7,7,red,Romanian Longhorn
Hdtnjco,14,7,white,Romanian Longhorn
Ifpeheh,3,7,red,Romanian Longhorn
Lgutrhlm,20,7,red,Romanian Longhorn
Okrepc,7,7,white,Romanian Longhorn
Wmpta,10,7,blue,Romanian Longhorn
Xdf,3,7,black,Romanian Longhorn
Yeyo,11,7,white,Romanian Longhorn
Anpktwj,8,7,red,Swedish Short-Snout
Kbh,0,7,black,Swedish Short-Snout
Pbiucc,20,7,white,Swedish Short-Snout
Ntathvov,15,7,red,Ukrainian Ironbelly
Pudlwh,11,7,blue,Ukrainian Ironbelly
Accptybr,6,8,red,Antipodean Opaleye
Bxv,19,8,white,Antipodean Opaleye
Chvoh,13,8,red,Antipodean Opaleye
Eawci,10,8,blue,Antipodean Opaleye
Qhyad,17,8,white,Antipodean Opaleye
Ssbgysgg,15,8,blue,Antipodean Opaleye
Edtfrji,15,8,white,Chinese Fireball
Nagrm,19,8,white,Chinese Fireball
Nswqix,14,8,black,Chinese Fireball
Wehld,8,8,black,Chinese Fireball
Yqe,19,8,white,Chinese Fireball
Aokhewo,11,8,blue,Hebridean Black
Kfea,17,8,white,Hebridean Black
Mfutw,4,8,black,Hebridean Black
Pmsqr,10,8,red,Hebridean Black
Uvjvjoc,8,8,black,Hebridean Black
Bes,7,8,red,Hungarian Horntail
Qal,4,8,black,Hungarian Horntail
Flsyhord,4,8,red,Norwegian Ridgeback
Wpefwbij,11,8,blue,Norwegian Ridgeback
Ajco,9,8,blue,Peruvian Vipertooth
Dsghrl,8,8,white,Peruvian Vipertooth
Dvbaqe,3,8,blue,Peruvian Vipertooth
Gpsj,19,8,blue,Peruvian Vipertooth
Jhds,10,8,white,Peruvian Vipertooth
Slg,20,8,blue,Peruvian Vipertooth
Uqqfc,13,8,white,Peruvian Vipertooth
Bvre,13,8,white,Romanian Longhorn
Dxljor,2,8,white,Romanian Longhorn
Qrlctl,5,8,black,Romanian Longhorn
Dpigcqtm,3,8,black,Swedish Short-Snout
Qhjk,16,8,white,Swedish Short-Snout
Tjvgbuhn,7,8,red,Swedish Short-Snout
Xkdflrbp,8,8,black,Swedish Short-Snout
Awqf,19,8,red,Ukrainian Ironbelly
Fwf,14,8,blue,Ukrainian Ironbelly
Tvhsau,20,8,blue,Ukrainian Ironbelly
Bvmpvpjd,17,9,black,Antipodean Opaleye
Cikuia,19,9,white,Antipodean Opaleye
Dfseap,19,9,blue,Antipodean Opaleye
Hwvnukvu,6,9,blue,Antipodean Opaleye
Vea,14,9,black,Antipodean Opaleye
Fcowtl,7,9,blue,Chinese Fireball
Jitwgte,16,9,white,Chinese Fireball
Ooslhcwv,7,9,black,Chinese Fireball
Ostj,4,9,blue,Chinese Fireball
Sve,4,9,black,Chinese Fireball
Xav,20,9,blue,Chinese Fireball
Xfox,9,9,black,Chinese Fireball
Lobmgrjy,11,9,blue,Common Welsh Green
Lxqb,7,9,white,Common Welsh Green
Qluyf,3,9,black,Common Welsh Green
Trlcw,0,9,white,Common Welsh Green
Vyepv,2,9,blue,Common Welsh Green
Yhxku,16,9,black,Common Welsh Green
Ekbethnx,11,9,red,Hebridean Black
Takjy,14,9,black,Hebridean Black
Lqfud,18,9,white,Hungarian Horntail
Nhgbcci,0,9,red,Hungarian Horntail
Pfyhrt,11,9,white,Hungarian Horntail
Srbxcd,1,9,red,Hungarian Horntail
Wlp,13,9,red,Hungarian Horntail
Eotepl,9,9,blue,Norwegian Ridgeback
Htqonp,18,9,blue,Norwegian Ridgeback
Jieyb,5,9,white,Norwegian Ridgeback
Ssnbhl,13,9,white,Norwegian Ridgeback
Upvt,15,9,red,Norwegian Ridgeback
Gtylkjt,2,9,black,Peruvian Vipertooth
Iejip,5,9,black,Peruvian Vipertooth
Nphjkxqb,3,9,blue,Peruvian Vipertooth
Ntmrmw,16,9,red,Peruvian Vipertooth
Hpfbtx,11,9,black,Romanian Longhorn
Kbvubku,19,9,red,Romanian Longhorn
Sumuwc,4,9,red,Romanian Longhorn
Itufg,15,9,red,Swedish Short-Snout
Ohdillsl,6,9,red,Swedish Short-Snout
Symjwgmh,13,9,black,Swedish Short-Snout
Fheed,2,9,blue,Ukrainian Ironbelly
Jrno,4,9,black,Ukrainian Ironbelly
Ohiybc,15,9,red,Ukrainian Ironbelly
Sfg,9,9,white,Ukrainian Ironbelly
Yxrko,13,9,red,Ukrainian Ironbelly
Djhnjtj,14,10,white,Antipodean Opaleye
Mho,20,10,blue,Antipodean Opaleye
Mlkwug,6,10,red,Antipodean Opaleye
Mskyp,2,10,red,Antipodean Opaleye
Nsxbu,16,10,red,Antipodean Opaleye
Oyr,2,10,blue,Antipodean Opaleye
Eqdn,7,10,white,Chinese Fireball
Sratvw,14,10,black,Chinese Fireball
Eeodijo,7,10,red,Common Welsh Green
Gikwjeiq,5,10,blue,Common Welsh Green
Katt,15,10,blue,Common Welsh Green
Pgewml,19,10,black,Common Welsh Green
Yodn,17,10,red,Common Welsh Green
Euoogxp,1,10,white,Hebridean Black
Svifqg,15,10,blue,Hebridean Black
Ghyf,0,10,white,Hungarian Horntail
Hmvrqkr,6,10,red,Norwegian Ridgeback
Ceapbo,4,10,red,Peruvian Vipertooth
Drx,6,10,white,Peruvian Vipertooth
Sqvvfn,14,10,red,Peruvian Vipertooth
Kegu,12,10,white,Romanian Longhorn
Lif,15,10,white,Romanian Longhorn
Qtdf,2,10,white,Romanian Longhorn
Rphagvm,16,10,black,Romanian Longhorn
Xao,14,10,white,Romanian Longhorn
Egm,13,10,black,Swedish Short-Snout
Hwuoen,8,10,black,Swedish Short-Snout
Sekelrmc,1,10,black,Swedish Short-Snout
Wdhv,4,10,black,Swedish Short-Snout
Hjj,10,10,red,Ukrainian Ironbelly
Krs,5,10,blue,Ukrainian Ironbelly
Mqkekwt,4,10,red,Ukrainian Ironbelly
Mxxockd,12,10,red,Ukrainian Ironbelly
Rfyg,9,10,white,Ukrainian Ironbelly
Wsysfwrb,20,10,white,Ukrainian Ironbelly
Yyp,16,10,blue,Ukrainian Ironbelly
Kborvuuy,4,11,red,Antipodean Opaleye
Gta,3,11,blue,Chinese Fireball
Jpu,18,11,white,Chinese Fireball
Oqx,8,11,blue,Chinese Fireball
Xunwjrl,6,11,black,Chinese Fireball
Debsqae,7,11,black,Common Welsh Green
Edql,13,11,red,Common Welsh Green
Aryl,12,11,white,Hebridean Black
Dwm,3,11,blue,Hebridean Black
Bka,8,11,white,Hungarian Horntail
Kavgcgoa,6,11,red,Hungarian Horntail
Kdlohk,2,11,blue,Hungarian Horntail
Oxmull,14,11,white,Hungarian Horntail
Rhav,18,11,white,Hungarian Horntail
Aujpexwh,10,11,red,Norwegian Ridgeback
Blku,18,11,white,Norwegian Ridgeback
Bteu,3,11,black,Norwegian Ridgeback
Lur,10,11,black,Norwegian Ridgeback
Rpsh,2,11,white,Norwegian Ridgeback
Suwps,16,11,red,Norwegian Ridgeback
Kumqcdx,14,11,black,Peruvian Vipertooth
Uuvlhrx,3,11,black,Peruvian Vipertooth
Cgtn,16,11,white,Romanian Longhorn
Gatkhqto,19,11,red,Romanian Longhorn
Iyot,14,11,blue,Romanian Longhorn
Tru,7,11,black,Romanian Longhorn
Frwjcuvq,13,11,red,Swedish Short-Snout
Tkadjwl,14,11,black,Swedish Short-Snout
Tmmhsn,0,11,blue,Swedish Short-Snout
Wxlccc,17,11,white,Swedish Short-Snout
Rhthgu,6,11,blue,Ukrainian Ironbelly
Soakvkxt,3,11,red,Ukrainian Ironbelly
Yyax,3,11,white,Ukrainian Ironbelly
Ivuofcv,15,12,black,Antipodean Opaleye
Hcaivb,1,12,white,Chinese Fireball
Cwbtxfb,7,12,white,Common Welsh Green
Flyueomp,20,12,white,Common Welsh Green
Hgbanb,18,12,black,Common Welsh Green
Osfp,3,12,blue,Common Welsh Green
Uckyjxhm,3,12,blue,Common Welsh Green
Yhreg,13,12,red,Common Welsh Green
Nbi,8,12,black,Hebridean Black
Vedmxqk,17,12,red,Hebridean Black
Aub,12,12,white,Hungarian Horntail
Iwauc,11,12,red,Hungarian Horntail
Dxfmsvb,13,12,black,Norwegian Ridgeback
Fue,20,12,black,Norwegian Ridgeback
Gke,5,12,white,Norwegian Ridgeback
Grtkse,15,12,red,Norwegian Ridgeback
Lko,0,12,blue,Norwegian Ridgeback
Qjxp,8,12,red,Norwegian Ridgeback
Qptsjjsp,6,12,white,Norwegian Ridgeback
Sek,20,12,red,Norwegian Ridgeback
Bwogdmfx,6,12,white,Peruvian Vipertooth
Crxgojv,3,12,red,Peruvian Vipertooth
Qyb,15,12,white,Peruvian Vipertooth
Jfytaor,18,12,black,Romanian Longhorn
Oghb,1,12,black,Romanian Longhorn
Seoe,14,12,white,Romanian Longhorn
Aaxvopxd,13,12,red,Swedish Short-Snout
Hhon,9,12,blue,Swedish Short-Snout
Movk,15,12,red,Swedish Short-Snout
Pgcyg,12,12,red,Swedish Short-Snout
Pnfrrnn,8,12,red,Swedish Short-Snout
Yxxnfyp,7,12,red,Swedish Short-Snout
Begebso,2,12,red,Ukrainian Ironbelly
Prowqep,17,12,red,Ukrainian Ironbelly
Tpey,13,12,blue,Ukrainian Ironbelly
Cfovmktm,8,13,blue,Antipodean Opaleye
Jegxtibw,3,13,white,Antipodean Opaleye
Kmqcs,4,13,red,Antipodean Opaleye
Mnuqpn,6,13,black,Antipodean Opaleye
Htgmkj,20,13,white,Chinese Fireball
Mcjojyo,2,13,black,Chinese Fireball
Nfeyv,0,13,white,Chinese Fireball
Fdpdwtu,13,13,white,Common Welsh Green
Nhg,17,13,black,Common Welsh Green
Qkeoriqi,16,13,white,Hebridean Black
Cljlwfe,6,13,black,Hungarian Horntail
Gtet,12,13,black,Hungarian Horntail
Newdvuqs,12,13,white,Hungarian Horntail
Qjbcn,10,13,white,Hungarian Horntail
Urrwtl,10,13,blue,Hungarian Horntail
Gehjh,4,13,blue,Norwegian Ridgeback
Mbjpajy,9,13,blue,Norwegian Ridgeback
Omflyj,3,13,red,Norwegian Ridgeback
Pmlc,18,13,black,Norwegian Ridgeback
Bjrwhpr,7,13,black,Peruvian Vipertooth
Cguamuxg,17,13,white,Peruvian Vipertooth
Tsjxusik,2,13,black,Peruvian Vipertooth
Qpcambw,4,13,white,Romanian Longhorn
Uwppxr,5,13,white,Romanian Longhorn
Vxc,1,13,black,Romanian Longhorn
Jfyrh,13,13,blue,Swedish Short-Snout
Lron,7,13,black,Swedish Short-Snout
Ukgegx,8,13,black,Swedish Short-Snout
Geg,18,13,blue,Ukrainian Ironbelly
Nicvp,4,13,blue,Ukrainian Ironbelly
Jseng,14,14,red,Antipodean Opaleye
Ravjfn,12,14,black,Antipodean Opaleye
Vsekp,11,14,white,Antipodean Opaleye
Lfdp,16,14,black,Chinese Fireball
Npi,17,14,white,Chinese Fireball
Tvwytji,17,14,white,Chinese Fireball
Dvquoklm,15,14,black,Common Welsh Green
Iho,19,14,blue,Common Welsh Green
Lkysfoe,2,14,white,Common Welsh Green
Qtsdby,13,14,red,Common Welsh Green
Cbu,10,14,red,Hebridean Black
Cpq,5,14,blue,Hebridean Black
Dvh,6,14,white,Hebridean Black
Vyq,0,14,black,Hebridean Black
Fectquk,7,14,blue,Hungarian Horntail
Nkd,15,14,black,Hungarian Horntail
Uoqyksu,15,14,red,Hungarian Horntail
Wimfmnc,7,14,blue,Hungarian Horntail
Xbvy,13,14,blue,Hungarian Horntail
Jmiysx,16,14,black,Norwegian Ridgeback
Nnf,1,14,blue,Norwegian Ridgeback
Yyuvdwvc,3,14,blue,Norwegian Ridgeback
Addjdgeh,6,14,blue,Peruvian Vipertooth
Ayosl,10,14,black,Peruvian Vipertooth
Gkf,12,14,red,Peruvian Vipertooth
Gmjkix,9,14,black,Peruvian Vipertooth
Puxw,19,14,red,Peruvian Vipertooth
Vxeddfu,18,14,blue,Peruvian Vipertooth
Wolrthn,0,14,blue,Peruvian Vipertooth
Xcvs,10,14,white,Peruvian Vipertooth
Fowwj,12,14,blue,Romanian Longhorn
Gtvbdx,4,14,blue,Romanian Longhorn
Iynn,11,14,red,Romanian Longhorn
Kmjcaxia,14,14,white,Romanian Longhorn
Uxsthg,8,14,white,Romanian Longhorn
Rqtki,15,14,red,Swedish Short-Snout
Clmlcpmm,19,14,blue,Ukrainian Ironbelly
Hbjyfh,10,14,blue,Ukrainian Ironbelly
Xshep,15,14,blue,Ukrainian Ironbelly
Bevgpwy,18,15,white,Antipodean Opaleye
Geaom,1,15,black,Antipodean Opaleye
Jrrxmpv,14,15,blue,Antipodean Opaleye
Wit,17,15,red,Antipodean Opaleye
Ykgdmo,3,15,white,Antipodean Opaleye
Gcchl,13,15,red,Chinese Fireball
Gwsreeav,17,15,white,Chinese Fireball
Pdffhbf,18,15,black,Chinese Fireball
Rwtnkt,18,15,white,Chinese Fireball
Rxyu,5,15,white,Chinese Fireball
Dedkb,5,15,black,Hebridean Black
Exgpb,3,15,blue,Hebridean Black
Fushxt,7,15,white,Hebridean Black
Gaemfe,5,15,black,Hebridean Black
Ypec,11,15,blue,Hebridean Black
Dgnep,1,15,blue,Hungarian Horntail
Kbcmmx,20,15,red,Hungarian Horntail
Vau,6,15,black,Hungarian Horntail
Cjvikq,20,15,blue,Norwegian Ridgeback
Fhnrfrp,18,15,red,Norwegian Ridgeback
Hmmd,9,15,black,Norwegian Ridgeback
Ryvur,0,15,white,Norwegian Ridgeback
Bvwodpmo,11,15,black,Peruvian Vipertooth
Eedvd,16,15,white,Peruvian Vipertooth
Inwmjfu,7,15,blue,Peruvian Vipertooth
Dlokbaci,0,15,black,Romanian Longhorn
Ekibj,0,15,red,Romanian Longhorn
Jlanmx,5,15,red,Romanian Longhorn
Kxkrmfjw,14,15,blue,Swedish Short-Snout
Lekyeo,5,15,red,Swedish Short-Snout
Rmxxprt,12,15,red,Swedish Short-Snout
Xyi,12,15,blue,Swedish Short-Snout
Igraqom,1,15,white,Ukrainian Ironbelly
Mukqxwo,18,15,red,Ukrainian Ironbelly
Nsk,12,15,red,Ukrainian Ironbelly
Sen,11,15,red,Ukrainian Ironbelly
Slt,6,15,black,Ukrainian Ironbelly
Uttce,19,15,red,Ukrainian Ironbelly
Wfrxjo,3,15,black,Ukrainian Ironbelly
Yjxpdyhq,20,15,red,Ukrainian Ironbelly
Krnx,18,16,black,Antipodean Opaleye
Nfigyrb,7,16,white,Antipodean Opaleye
Ntuhnd,11,16,black,Antipodean Opaleye
Acb,17,16,white,Chinese Fireball
Axoebq,17,16,white,Chinese Fireball
Bbeesbq,14,16,white,Chinese Fireball
Notd,17,16,white,Chinese Fireball
Tiuiej,13,16,black,Chinese Fireball
Unl,16,16,red,Chinese Fireball
Vibedve,9,16,black,Chinese Fireball
Vkbh,17,16,black,Chinese Fireball
Wjp,19,16,red,Chinese Fireball
Xhpttcs,10,16,red,Chinese Fireball
Mjb,7,16,black,Common Welsh Green
Pkfb,18,16,red,Common Welsh Green
Jlis,10,16,black,Hebridean Black
Nguyxhvw,16,16,red,Hebridean Black
Tbrv,2,16,red,Hebridean Black
Utjdopji,8,16,blue,Hebridean Black
Farf,7,16,black,Hungarian Horntail
Fitt,19,16,white,Hungarian Horntail
Jpmsgw,12,16,red,Hungarian Horntail
Tyalsd,5,16,white,Hungarian Horntail
Wawqm,5,16,blue,Hungarian Horntail
Mmvo,13,16,white,Norwegian Ridgeback
Rtsvd,18,16,white,Norwegian Ridgeback
Ajmpcpbl,5,16,red,Peruvian Vipertooth
Anqwa,2,16,black,Peruvian Vipertooth
Bchcgkd,17,16,white,Peruvian Vipertooth
Cqg,4,16,white,Peruvian Vipertooth
Fwe,0,16,red,Peruvian Vipertooth
Hggb,12,16,white,Peruvian Vipertooth
Ingupq,9,16,blue,Peruvian Vipertooth
Kelqf,17,16,red,Peruvian Vipertooth
Vsmmnl,5,16,blue,Peruvian Vipertooth
Chlmqm,18,16,white,Romanian Longhorn
Qrbkuwgs,17,16,red,Romanian Longhorn
Esvmwolb,14,16,blue,Ukrainian Ironbelly
Gsnlkxm,4,16,red,Ukrainian Ironbelly
Aaqcwd,13,17,black,Antipodean Opaleye
Eompboqp,19,17,red,Antipodean Opaleye
Kmgoi,17,17,white,Chinese Fireball
Pwhjiey,13,17,white,Chinese Fireball
Sygj,7,17,blue,Chinese Fireball
Vbfpubkf,13,17,red,Chinese Fireball
Veaj,16,17,blue,Chinese Fireball
Fsttmss,3,17,black,Common Welsh Green
Icxxfudr,15,17,red,Common Welsh Green
Kfb,13,17,white,Hebridean Black
Ludqj,17,17,white,Hebridean Black
Yml,10,17,red,Hebridean Black
Dbdtq,18,17,blue,Hungarian Horntail
Nnh,1,17,red,Hungarian Horntail
Ognkf,10,17,black,Hungarian Horntail
Tqogplvu,13,17,blue,Hungarian Horntail
Yrop,5,17,blue,Hungarian Horntail
Qvxrfs,15,17,red,Norwegian Ridgeback
Usggyf,11,17,white,Norwegian Ridgeback
Bst,19,17,blue,Peruvian Vipertooth
Gyqi,17,17,blue,Peruvian Vipertooth
Hmfdxogt,10,17,black,Peruvian Vipertooth
Icuiexbw,3,17,blue,Peruvian Vipertooth
Jhdb,20,17,black,Peruvian Vipertooth
Krleihy,1,17,blue,Peruvian Vipertooth
Onmoafcg,10,17,white,Peruvian Vipertooth
Uwghdli,17,17,red,Peruvian Vipertooth
Cpufd,8,17,red,Romanian Longhorn
Iysbu,0,17,white,Swedish Short-Snout
Mtie,4,17,black,Swedish Short-Snout
Brwalt,7,17,blue,Ukrainian Ironbelly
Exuxjb,11,17,red,Ukrainian Ironbelly
Vkglvx,10,17,black,Ukrainian Ironbelly
Wtglttb,11,17,black,Ukrainian Ironbelly
Jmtswu,4,18,white,Antipodean Opaleye
Apeyq,16,18,white,Chinese Fireball
Bqwlkk,2,18,blue,Chinese Fireball
Bxlmqne,0,18,white,Chinese Fireball
Cufrcbva,20,18,blue,Chinese Fireball
Eqs,12,18,black,Chinese Fireball
Idjy,7,18,blue,Chinese Fireball
Joofni,3,18,blue,Chinese Fireball
Qjvvs,10,18,white,Chinese Fireball
Fttpx,17,18,black,Common Welsh Green
Gqqsor,7,18,red,Common Welsh Green
Yqpoqh,10,18,blue,Common Welsh Green
Bhoitn,20,18,white,Hebridean Black
Jyb,20,18,red,Hebridean Black
Ljrgf,7,18,blue,Hebridean Black
Rrvt,8,18,red,Hebridean Black
Vsgsjy,17,18,black,Hebridean Black
Wsxyh,19,18,red,Hebridean Black
Eqkdrsq,15,18,blue,Hungarian Horntail
Fqlqmss,8,18,red,Hungarian Horntail
Maecl,7,18,white,Hungarian Horntail
Ufcju,11,18,white,Hungarian Horntail
Xaoetifq,9,18,red,Hungarian Horntail
Yhnddvp,7,18,red,Hungarian Horntail
Mkigcjo,9,18,red,Norwegian Ridgeback
Rcw,4,18,red,Norwegian Ridgeback
Wwkt,10,18,white,Norwegian Ridgeback
Bpxp,1,18,blue,Peruvian Vipertooth
Ebeyxftp,10,18,blue,Peruvian Vipertooth
Esyqrd,5,18,black,Peruvian Vipertooth
Lbuyf,15,18,white,Peruvian Vipertooth
Pkeadieu,15,18,blue,Peruvian Vipertooth
Dquyqcwp,8,18,blue,Romanian Longhorn
Enma,1,18,red,Romanian Longhorn
Fjyltif,3,18,red,Romanian Longhorn
Yqaloa,17,18,red,Romanian Longhorn
Jporsq,15,18,blue,Swedish Short-Snout
Trexxb,2,18,white,Swedish Short-Snout
Vbhhy,14,18,black,Swedish Short-Snout
Cwg,14,18,black,Ukrainian Ironbelly
Denuq,4,18,black,Ukrainian Ironbelly
Mlxgwix,12,18,blue,Ukrainian Ironbelly
Wbc,3,18,white,Ukrainian Ironbelly
Dsnxyqqv,18,19,black,Antipodean Opaleye
